width	reads.per.mb.bpr	type
6487	131	diploid
188532	131	diploid
146593	131	diploid
338065	131	diploid
56480	131	diploid
9804	131	diploid
21074	131	diploid
12875	131	diploid
9203	131	diploid
44587	131	diploid
56053	131	diploid
53963	131	diploid
98378	131	diploid
488964	131	diploid
15702	131	diploid
266955	131	diploid
2340	131	diploid
89211	286	diploid
185653	286	diploid
21989	286	diploid
4569	286	diploid
2841	286	diploid
328405	286	diploid
19165	286	diploid
1811	286	diploid
1	286	diploid
5264	286	diploid
12106	286	diploid
2040	286	diploid
178	286	diploid
18169	286	diploid
15925	286	diploid
316889	286	diploid
54410	286	diploid
12160	286	diploid
6127	286	diploid
277346	286	diploid
8692	286	diploid
133907	286	diploid
31888	286	diploid
162282	286	diploid
70608	286	diploid
16306	286	diploid
110287	286	diploid
68804	286	diploid
293868	286	diploid
271133	286	diploid
3516	286	diploid
9814	286	diploid
16272	286	diploid
274	286	diploid
215	286	diploid
9824	286	diploid
46028	286	diploid
21946	286	diploid
3144	286	diploid
232839	286	diploid
6223	286	diploid
23523	286	diploid
181661	95	diploid
17294	95	diploid
747145	95	diploid
9914	95	diploid
10626	95	diploid
29728	95	diploid
560207	95	diploid
8128	95	diploid
255522	95	diploid
9939	95	diploid
74383	95	diploid
34833	95	diploid
365989	95	diploid
170	95	diploid
7995	95	diploid
10349	95	diploid
129164	95	diploid
104161	95	diploid
157788	95	diploid
181601	95	diploid
28830	95	diploid
12084	221	diploid
5401	221	diploid
71987	221	diploid
7063	221	diploid
74543	221	diploid
5773	221	diploid
15014415	221	diploid
250279	221	diploid
38222	221	diploid
41534	221	diploid
28444	221	diploid
178937	221	diploid
9304	221	diploid
65661	221	diploid
18669	221	diploid
27747	221	diploid
323643	221	diploid
1575	221	diploid
216227	221	diploid
57368	221	diploid
139159	221	diploid
455416	221	diploid
130248	221	diploid
138360	221	diploid
7551	221	diploid
2399417	221	diploid
210	221	diploid
311486	221	diploid
194570	221	diploid
1806	221	diploid
225819	221	diploid
11407	221	diploid
764	221	diploid
586	221	diploid
501462	221	diploid
2880	221	diploid
6418	221	diploid
2156370	221	diploid
5380	263	diploid
297901	263	diploid
51209	263	diploid
7906	263	diploid
48218	263	diploid
190160	263	diploid
30400	263	diploid
480	263	diploid
22053	263	diploid
21812	263	diploid
249381	263	diploid
107278	263	diploid
139950	263	diploid
10205	263	diploid
579766	263	diploid
389146	263	diploid
112974	263	diploid
950	263	diploid
142676	263	diploid
31807	263	diploid
7847	263	diploid
258890	263	diploid
305713	263	diploid
492060	263	diploid
250413	263	diploid
26857	263	diploid
72507	263	diploid
569	263	diploid
16516	263	diploid
9385	263	diploid
5018000	263	diploid
15930	263	diploid
234677	263	diploid
488548	263	diploid
194066	263	diploid
4144	263	diploid
38555	263	diploid
5232	263	diploid
22485	263	diploid
5982	243	diploid
28374	243	diploid
1984	243	diploid
336583	243	diploid
14248	243	diploid
2755	243	diploid
16021	243	diploid
5393	243	diploid
56601	243	diploid
399169	243	diploid
179555	243	diploid
687945	243	diploid
4245	243	diploid
339381	243	diploid
298131	243	diploid
17947	243	diploid
66160	243	diploid
64036	243	diploid
106361	243	diploid
15961	243	diploid
5396	243	diploid
165671	243	diploid
417079	243	diploid
18667	243	diploid
410	243	diploid
