library	background	reads.per.mb	coverage
zeid_BLM_UV300s_hoechst3_cluster14_well37_S478_.trimmed.mdup.bam	0	0	0
zeid_BLM_UV300s_hoechst3_cluster14_well34_S475_.trimmed.mdup.bam	0.0346181116151132	219	1.58
zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_.trimmed.mdup.bam	0.0176150998274335	342	2.45
zeid_BLM_UV300s_hoechst3_cluster14_well32_S473_.trimmed.mdup.bam	0.047338867453349	798	5.71
zeid_BLM_UV300s_hoechst3_cluster14_well31_S472_.trimmed.mdup.bam	0.36435124508519	5	0.03
zeid_BLM_UV300s_hoechst3_cluster14_well30_S471_.trimmed.mdup.bam	0.0331221198156682	295	2.13
zeid_BLM_UV300s_hoechst3_cluster14_well27_S468_.trimmed.mdup.bam	0.0210570857054932	338	2.48
zeid_BLM_UV300s_hoechst3_cluster14_well26_S467_.trimmed.mdup.bam	0.129261042744189	375	2.91
zeid_BLM_UV300s_hoechst3_cluster14_well25_S466_.trimmed.mdup.bam	0.3	191	1.38
zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_.trimmed.mdup.bam	0.02592607314951	382	2.79
zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_.trimmed.mdup.bam	0.0444548237236962	223	1.61
zeid_BLM_UV300s_hoechst3_cluster14_well20_S461_.trimmed.mdup.bam	0.0438897342051514	723	5.14
zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_.trimmed.mdup.bam	0.0241999477744566	771	5.48
zeid_BLM_UV300s_hoechst3_cluster14_well18_S459_.trimmed.mdup.bam	0.0856356213804234	21	0.15
zeid_BLM_UV300s_hoechst3_cluster14_well17_S458_.trimmed.mdup.bam	0.0638880438089443	72	0.53
zeid_BLM_UV300s_hoechst3_cluster14_well16_S457_.trimmed.mdup.bam	0.5	1	0.01
zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_.trimmed.mdup.bam	0.0349601197934175	738	5.23
zeid_BLM_UV300s_hoechst3_cluster14_well12_S453_.trimmed.mdup.bam	0	632	4.89
zeid_BLM_UV300s_hoechst3_cluster14_well11_S452_.trimmed.mdup.bam	0	1	0.01
zeid_BLM_UV300s_hoechst3_cluster14_well10_S451_.trimmed.mdup.bam	0.050547183435393	580	4.21
wtfucci-hyd-mn-f03-r7-c5_S74_.trimmed.mdup.bam	0.0819667058605112	48	0.4
wtfucci-hyd-mn-f03-r7-c1_S72_.trimmed.mdup.bam	0.0820722412459958	30	0.26
wtfucci-hyd-mn-f03-r6-c6_S71_.trimmed.mdup.bam	0.054594515351701	124	0.95
wtfucci-hyd-mn-f03-r6-c2_S69_.trimmed.mdup.bam	0.0705716657025729	32	0.28
wtfucci-hyd-mn-f03-r5-c7_S68_.trimmed.mdup.bam	0.0851551456763693	32	0.3
wtfucci-hyd-mn-f03-r5-c3_S66_.trimmed.mdup.bam	0.0801014007944805	146	1.19
wtfucci-hyd-mn-f03-r4-c6_S64_.trimmed.mdup.bam	0.0860947661814803	65	0.52
wtfucci-hyd-mn-f03-r4-c4_S63_.trimmed.mdup.bam	0.101000193407565	69	0.58
wtfucci-hyd-mn-f03-r4-c2_S62_.trimmed.mdup.bam	0.0780486107486473	32	0.27
wtfucci-hyd-mn-f03-r3-c7_S61_.trimmed.mdup.bam	0.0879926154773566	48	0.4
wtfucci-hyd-mn-f03-r3-c5_S60_.trimmed.mdup.bam	0.0752837690295202	54	0.43
wtfucci-hyd-mn-f03-r3-c3_S59_.trimmed.mdup.bam	0.0694606058331144	37	0.32
wtfucci-hyd-mn-f03-r3-c1_S58_.trimmed.mdup.bam	0.0669050775849136	279	2.09
wtfucci-hyd-mn-f03-r2-c6_S57_.trimmed.mdup.bam	0.0889898015584866	67	0.55
wtfucci-hyd-mn-f03-r2-c4_S56_.trimmed.mdup.bam	0.0781960227272727	87	0.68
wtfucci-hyd-mn-f03-r1-c7_S54_.trimmed.mdup.bam	0.0904448510336164	74	0.59
wtfucci-hyd-mn-f03-r1-c5_S53_.trimmed.mdup.bam	0.0925738567381627	38	0.34
wtfucci-hyd-mn-f03-r1-c3_S52_.trimmed.mdup.bam	0.105482480380237	100	0.8
wtfucci-hyd-mn-f03-r1-c1_S51_.trimmed.mdup.bam	0.078793830512391	35	0.29
wtfucci-hyd-mn-f02-r7-c5_S49_.trimmed.mdup.bam	0.103590472051138	41	0.33
wtfucci-hyd-mn-f02-r7-c3_S48_.trimmed.mdup.bam	0.117977102130563	53	0.43
wtfucci-hyd-mn-f02-r7-c1_S47_.trimmed.mdup.bam	0.0836983729662078	30	0.25
