file	coverage	spikiness	evenness.mean	evenness.med	end.x	background	reads.per.mb.bpr	coverage.bpr	end.y	gene
blm-4-100uv-f03-r1-c6_S104_.processed.bam	0.0155604366824397	0.12600600835435	0.203428992737744	0.203109768958967	se	0.0492156903809504	201	1.44	se	BLM
blm-4-100uv-f03-r2-c1_S106_.processed.bam	0.0127342188817934	0.127779550586306	0.207713758093907	0.202633088791641	se	0.0147730325006715	168	1.17	se	BLM
blm-4-100uv-f03-r2-c2_S107_.processed.bam	0.00898732384114785	0.138770314224483	0.20496462885665	0.204292519896614	se	0.0126009010700207	113	0.82	se	BLM
blm-4-100uv-f03-r2-c3_S108_.processed.bam	0.0151860452401092	0.118587628603659	0.197751300137611	0.196657234917052	se	0.0170709793351303	195	1.39	se	BLM
blm-4-100uv-f03-r2-c6_S111_.processed.bam	0.0140508425597928	0.121784406462358	0.21024941017902	0.207666458285354	se	0.0194949555971727	184	1.28	se	BLM
blm-4-100uv-f03-r3-c1_S113_.processed.bam	0.0161172862671942	0.178383239377797	0.228684370484517	0.228588186616167	se	0.0831635556045005	201	1.47	se	BLM
blm-4-100uv-f03-r3-c2_S114_.processed.bam	0.0127355966685164	0.198567271547503	0.248320307863177	0.233838648353381	se	0.0549067707042106	182	1.17	se	BLM
blm-4-100uv-f03-r3-c5_S117_.processed.bam	0.0131515263567681	0.136165134024653	0.214450910059783	0.212612757265237	se	0.0428958758270733	171	1.21	se	BLM
blm-4-100uv-f03-r4-c1_S120_.processed.bam	0.0130040351785365	0.127732413552771	0.207548985462353	0.206934455676087	se	0.0151211952514933	167	1.19	se	BLM
blm-4-100uv-f03-r4-c3_S122_.processed.bam	0.0145939288485051	0.200075395294343	0.232035676634987	0.230248600795105	se	0.0761447446147727	190	1.33	se	BLM
blm-4-100uv-f03-r4-c4_S123_.processed.bam	0.0118893862914109	0.137540822246413	0.214213735344852	0.209101078441465	se	0.0186172369808371	157	1.08	se	BLM
blm-4-100uv-f03-r4-c5_S124_.processed.bam	0.0100734504383812	0.215745544892889	0.238799698453678	0.233545203236561	se	0.0411981441048035	137	0.92	se	BLM
blm-4-100uv-f03-r4-c6_S125_.processed.bam	0.0128208899236739	0.125662798547302	0.236395701987387	0.223246540770032	se	0.025998524366961	175	1.17	se	BLM
blm-4-100uv-f03-r5-c2_S128_.processed.bam	0.0127777987129763	0.125936747503854	0.202756983179401	0.200072729503666	se	0.014230330672748	166	1.17	se	BLM
blm-4-100uv-f03-r5-c4_S130_.processed.bam	0.0144625657081343	0.118711661326308	0.20117824055232	0.197953543445756	se	0.0237075547411558	190	1.33	se	BLM
