file	RPM
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r2-c6_S480_.trimmed.mdup.bam	242
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r3-c4_S483_.trimmed.mdup.bam	127
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r3-c5_S484_.trimmed.mdup.bam	235
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r3-c6_S485_.trimmed.mdup.bam	80
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r4-c3_S487_.trimmed.mdup.bam	142
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r4-c4_S488_.trimmed.mdup.bam	255
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r4-c6_S490_.trimmed.mdup.bam	249
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r5-c4_S493_.trimmed.mdup.bam	253
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r5-c5_S494_.trimmed.mdup.bam	241
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r5-c6_S495_.trimmed.mdup.bam	207
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r6-c2_S496_.trimmed.mdup.bam	197
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r6-c3_S497_.trimmed.mdup.bam	227
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r6-c4_S498_.trimmed.mdup.bam	167
April_29_2021_NextSeq_na12878-fdu-h5-ke-single-f12-r6-c5_S499_.trimmed.mdup.bam	161
April_29_2021_NextSeq_na12878-fdu-h5r1-ke-single-f3-r3-c2_S331_.trimmed.mdup.bam	273
April_29_2021_NextSeq_na12878-fdu-h5r1-ke-single-f3-r3-c4_S333_.trimmed.mdup.bam	429
April_29_2021_NextSeq_na12878-fdu-h5r1-ke-single-f3-r4-c4_S338_.trimmed.mdup.bam	292
April_29_2021_NextSeq_na12878-fdu-h5r1-ke-single-f3-r4-c6_S340_.trimmed.mdup.bam	265
